vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
ENT-028,Honda,Civic,Sport,Unspecified,Unspecified,2024,Used,available,46000,24931,Unknown,Unknown,Honda|Civic|Sport,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Civic Sedan Sport CVT""; screenshot showed ""Coming Soon"" in Plano TX; no Honda new-inventory benchmark loaded",,,,,No comparable found,Manual review,2,24840.0,24705.0,24975.0,-91.0,-0.4,Low,Fair Value
ENT-031,Honda,Civic,Sport,Unspecified,Unspecified,2024,Used,available,54000,24931,Unknown,Unknown,Honda|Civic|Sport,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""Civic Sedan Sport CVT""; screenshot showed ""Coming Soon"" in Plano TX; no Honda new-inventory benchmark loaded",,,,,No comparable found,Manual review,2,24840.0,24705.0,24975.0,-91.0,-0.4,Low,Fair Value
HZ-010,Honda,Civic,Sport,Unspecified,Unspecified,2024,Used,available,40759,24749,Yes,Unknown,Honda|Civic|Sport,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Civic Sport Hatchback""; price refreshed from $23,664; Bedford TX In-Store; price includes dealer documentation fees; no Honda new-inventory benchmark loaded",,,,,No comparable found,Manual review,2,24931.0,24931.0,24931.0,182.0,0.7,Low,Fair Value
