vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
HZ-011,Toyota,Highlander,LE,Unspecified,Unspecified,2025,Used,available,59445,31416,Yes,Unknown,Toyota|Highlander|LE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Price refreshed from $32,280; Bedford TX In-Store; price includes dealer documentation fees; new benchmark only covers ""Hybrid XLE"" -- no exact match",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
HZ-014,Toyota,Highlander,XSE,Unspecified,Unspecified,2024,Used,available,70334,35499,Yes,Unknown,Toyota|Highlander|XSE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Price refreshed from $33,499; Bedford TX In-Store; price includes dealer documentation fees; new benchmark only covers ""Hybrid XLE"" -- no exact match",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
HZ-015,Toyota,Highlander,Unspecified,Unspecified,Unspecified,2025,Used,available,50814,37853,Unknown,Unknown,Toyota|Highlander|Unspecified,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Highlander SUV -- trim unspecified""; Dallas TX Rent2Buy; refreshed from 50,202 miles at $37,953",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
