vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
AVIS-008,Honda,CR-V,LX,Unspecified,Unspecified,2025,Used,available,34255,26899,Unknown,Unknown,Honda|CR-V|LX,Avis Car Sales,2026-07-21,Avis,"Avis screenshot price refresh; previously recorded at $27,199; no Honda new-inventory benchmark loaded",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
AVIS-009,Honda,CR-V,EX,Unspecified,Unspecified,2025,Used,available,24066,28589,Unknown,Unknown,Honda|CR-V|EX,Avis Car Sales,2026-07-17,Avis,No Honda new-inventory benchmark loaded,,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
AVIS-010,Honda,CR-V,EX-L,Unspecified,Unspecified,2025,Used,available,27291,31579,Unknown,Unknown,Honda|CR-V|EX-L,Avis Car Sales,2026-07-17,Avis,No Honda new-inventory benchmark loaded,,,,,No comparable found,Manual review,1,20501.0,20501.0,20501.0,-11078.0,-54.0,Low,Overpriced
HZ-006,Honda,CR-V,EX-L,FWD,Unspecified,2020,Used,available,107228,20501,Yes,Unknown,Honda|CR-V|EX-L,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""CR-V EX-L 2WD SUV""; price refreshed from $20,796; Bedford TX In-Store; price includes dealer documentation fees; no Honda new-inventory benchmark loaded",,,,,No comparable found,Manual review,1,31579.0,31579.0,31579.0,11078.0,35.1,Low,Strong Value
