vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
ENT-001,Toyota,RAV4,LE,AWD,Hybrid,2024,Used,available,51000,31999,Unknown,Unknown,Toyota|RAV4|LE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""RAV4 Hybrid LE AWD""",34059.0,2060.0,6.0,1.18,Exact match (low sample),Fair Value,2,29566.0,24722.0,34410.0,-2433.0,-8.2,Low,Overpriced
ENT-017,Toyota,RAV4,XLE,FWD,Unspecified,2024,Used,available,60000,27999,Unknown,Unknown,Toyota|RAV4|XLE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""RAV4 XLE FWD""; new benchmark trim is ""XLE Premium"" not plain ""XLE"" -- no exact match",,,,,No comparable found,Manual review,3,30499.0,28275.0,32723.0,2500.0,8.2,Medium,Strong Value
ENT-021,Toyota,RAV4,XLE,FWD,Unspecified,2024,Used,available,46000,28999,Unknown,Unknown,Toyota|RAV4|XLE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""RAV4 XLE FWD""; new benchmark trim is ""XLE Premium"" not plain ""XLE"" -- no exact match",,,,,No comparable found,Manual review,3,30499.0,27635.0,33363.0,1500.0,4.9,Medium,Good Value
ENT-025,Toyota,RAV4,XLE,AWD,Unspecified,2024,Used,sold,55000,30499,Unknown,Unknown,Toyota|RAV4|XLE,Enterprise Car Sales,2026-07-17,Enterprise,"Listed as ""RAV4 XLE AWD -- sold""; new benchmark trim is ""XLE Premium"" not plain ""XLE"" -- no exact match",,,,,No comparable found,Manual review,3,28999.0,27516.0,30482.0,-1500.0,-5.2,Medium,Overpriced
ENT-035,Toyota,RAV4,XLE,AWD,Hybrid,2024,Used,available,65000,32431,Unknown,Unknown,Toyota|RAV4|XLE,Enterprise Car Sales,2026-07-21,Enterprise,"Listed as ""RAV4 Hybrid XLE AWD""; screenshot showed ""Coming Soon"" in Plano TX; new benchmark trim is ""XLE Premium"" not plain ""XLE"" -- no exact match",,,,,No comparable found,Manual review,3,28999.0,27516.0,30482.0,-3432.0,-11.8,Medium,Overpriced
AVIS-006,Toyota,RAV4,LE,Unspecified,Unspecified,2025,Used,available,53881,26299,Unknown,Unknown,Toyota|RAV4|LE,Avis Car Sales,2026-07-17,Avis,,34059.0,7760.0,22.8,4.23,Exact match (low sample),Strong Value,2,32416.0,31797.0,33035.0,6117.0,18.9,Low,Strong Value
HZ-013,Toyota,RAV4,LE,Unspecified,Hybrid,2025,Used,available,24040,32834,Unknown,Unknown,Toyota|RAV4|LE,Hertz Rent2Buy and In-Store,2026-07-17,Hertz,"Listed as ""RAV4 Hybrid LE SUV""",34059.0,1225.0,3.6,1.5,Exact match (low sample),Fair Value,2,29149.0,24924.0,33374.0,-3685.0,-12.6,Low,Overpriced
