vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
HZ-016,Toyota,Tacoma,TRD Off-Road,Unspecified,Unspecified,2025,Used,available,16175,40449,Yes,Unknown,Toyota|Tacoma|TRD Off-Road,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Tacoma TRD Off-Road Double Cab""; price refreshed from $38,749; Bedford TX In-Store; price includes dealer documentation fees; no Tacoma in new-inventory benchmark",,,,,No comparable found,Manual review,2,39510.0,37884.0,41136.0,-939.0,-2.4,Low,Fair Value
HZ-017,Toyota,Tacoma,Unspecified,Unspecified,Unspecified,2025,Used,available,22424,39529,Unknown,Unknown,Toyota|Tacoma|Unspecified,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Tacoma Double Cab -- trim unspecified""; Dallas TX Rent2Buy; refreshed from 22,321 miles at $39,098; no Tacoma in new-inventory benchmark",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
HZ-018,Toyota,Tacoma,TRD Off-Road,Unspecified,Unspecified,2024,Used,available,26605,40606,Yes,Unknown,Toyota|Tacoma|TRD Off-Road,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Tacoma TRD Off-Road Double Cab""; price refreshed from $39,398; Bedford TX In-Store; price includes dealer documentation fees; no Tacoma in new-inventory benchmark",,,,,No comparable found,Manual review,2,39431.0,37922.0,40940.0,-1175.0,-3.0,Low,Fair Value
HZ-032,Toyota,Tacoma,TRD Off-Road,Unspecified,Unspecified,2025,Used,available,20533,38413,Yes,Unknown,Toyota|Tacoma|TRD Off-Road,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Listed as ""Tacoma TRD Off-Road Double Cab""; Bedford TX In-Store; price includes dealer documentation fees; no Tacoma in new-inventory benchmark",,,,,No comparable found,Manual review,2,40528.0,40412.0,40644.0,2115.0,5.2,Low,Good Value
