vehicle_id,make,model,trim,drivetrain,powertrain,year,condition,status,mileage,price,doc_fee_included,dealer_adjustment_included,comparable_key,source,date_collected,retail,notes,comparable_price_median,raw_discount,discount_pct,mileage_adjusted_discount_per_10k,confidence,value_label,used_comp_count,expected_used_price,expected_price_low,expected_price_high,market_discount,market_discount_pct,market_confidence,price_label
AVIS-012,Toyota,Crown,Limited,Unspecified,Unspecified,2024,Used,available,32478,33449,Unknown,Unknown,Toyota|Crown|Limited,Avis Car Sales,2026-07-17,Avis,No Crown in new-inventory benchmark,,,,,No comparable found,Manual review,1,34759.0,34759.0,34759.0,1310.0,3.8,Low,Fair Value
AVIS-013,Toyota,Crown,Limited,Unspecified,Unspecified,2024,Used,available,26048,34759,Unknown,Unknown,Toyota|Crown|Limited,Avis Car Sales,2026-07-17,Avis,No Crown in new-inventory benchmark,,,,,No comparable found,Manual review,1,33449.0,33449.0,33449.0,-1310.0,-3.9,Low,Fair Value
HZ-012,Toyota,Crown,XLE,Unspecified,Hybrid,2025,Used,available,48256,33349,Yes,Unknown,Toyota|Crown|XLE,Hertz Rent2Buy and In-Store,2026-07-21,Hertz,"Price refreshed from $32,398; Bedford TX In-Store; price includes dealer documentation fees; no Crown in new-inventory benchmark",,,,,No comparable found,Manual review,0,,,,,,Manual review,Manual review
